Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,GIDTR
2.1196713,9.583036,-5.9909444,-8.5647545,-2.0450873,-3.5017774,1.2572936,9.741019,23.168331,15.229047,53033007501
1.4702152,5.9307146,10.969092,-7.5522776,-3.157037,-6.653785,-7.8840566,7.455737,22.797617,18.084368,53033007502
3.3523922,11.038013,-2.4690332,-2.7120697,3.2428956,-4.2673492,5.616347,14.042268,31.807453,14.175888,53033007503
-0.8652266,0.69796884,0.96543187,-0.1833255,0.17180112,0.8319515,1.6422484,-5.9240503,-1.4908416,0.30488005,53033007600
-4.045864,-1.7204747,-2.5297768,-3.413201,-0.42187366,0.83630687,2.25471,6.07473,-2.9512734,2.6542842,53033007700
-1.0190475,-0.8162706,-2.3623161,-4.0826073,-1.129235,5.3819494,-0.9470142,0.03481276,-2.7867742,7.56752,53033007901
1.9725386,0.5753611,-1.3079365,-2.1718745,-0.23472978,4.00351,2.2623768,-2.1506326,-2.303123,-3.029786,53033007902
4.51719,15.790223,26.19092,-2.5748317,0.3931339,18.275696,6.4368286,8.633862,50.487995,16.35976,53033008002
3.8973231,-4.740638,-1.2396561,-5.1347566,0.1602668,3.880237,0.077278346,-0.79963356,23.186405,5.027649,53033008003
0.56438154,4.5051208,-0.14831786,0.6152282,1.4347674,0.04451973,0.5274364,8.90613,-0.24984507,8.800484,53033008004
